avgMaxPlateau,avgRandOps,avgDuration
27,9,209
55,140,325
73,119,477
141,139,1164
158,94,444
44,80,641
99,89,525
165,125,656
76,57,184
84,105,500
130,110,724
79,123,152
54,90,343
150,85,729
29,135,224
98,119,479
89,115,348
118,117,714
40,66,323
86,89,315
128,78,412
135,146,569
57,136,300
78,123,791
40,134,281
89,118,908
109,108,323
111,93,566
71,65,449
87,117,545
102,123,449
110,90,453
129,125,723
124,117,273
104,115,653
85,77,344
104,62,427
110,119,607
108,133,605
67,118,264
79,94,313
113,95,588
113,47,551
77,115,447
71,26,307
47,108,365
112,103,351
120,72,544
101,112,269
84,131,659
145,95,621
86,124,260
115,145,505
81,114,325
65,126,390
52,137,245
131,103,713
105,75,524
78,82,165
110,149,194
48,76,134
112,79,733
69,111,512
164,68,355
9,105,342
151,129,715
115,135,670
106,117,391
142,122,797
113,101,620
99,96,506
117,79,482
106,108,719
110,76,471
131,112,485
127,152,645
69,134,165
83,135,457
116,74,535
122,71,512
48,80,167
105,93,611
108,123,338
89,63,390
129,121,725
66,89,451
102,76,130
117,152,245
93,167,259
105,93,353
68,88,218
137,97,394
45,132,234
127,114,508
53,171,196
68,135,439
132,108,563
53,85,144
124,90,491
171,117,541
86,114,589
80,76,418
112,105,832
50,126,144
151,131,706
109,148,219
102,162,479
71,93,366
76,142,478
49,109,448
63,108,204
77,92,328
120,131,358
90,128,539
90,99,277
94,136,431
63,121,402
141,87,379
142,61,959
117,73,383
82,134,908
97,121,753
63,120,333
100,37,1108
104,160,505
142,116,852
108,62,337
121,111,892
103,56,511
156,48,207
82,122,675
103,52,122
103,40,269
151,113,545
88,117,411
84,82,592
157,109,448
94,128,423
78,156,506
96,66,141
164,53,720
90,62,87
90,112,1149
94,134,437
133,97,427
116,153,443
38,70,737
124,93,608
97,112,340
85,89,540
102,54,521
149,121,859
77,127,611
158,132,503
35,126,702
99,81,307
93,90,573
84,162,433
32,108,166
95,125,399
145,84,366
113,124,684
68,131,200
111,88,104
51,133,2734
98,100,510
72,139,247
97,111,178
104,37,311
119,163,416
86,95,572
100,140,671
64,102,272
127,147,597
118,96,538
61,122,555
84,93,297
77,85,269
140,91,1010
120,79,754
82,137,415
81,101,441
95,133,490
76,86,417
126,107,813
124,63,471
56,131,292
105,51,293
51,106,317
127,99,481
70,31,326
103,88,533
73,42,452
83,46,277
129,79,329
104,80,128
116,40,349
148,83,658
81,132,588
112,131,444
93,108,372
154,12,496
105,65,1323
67,86,239
121,27,219
101,101,404
97,22,163
142,51,707
34,127,117
95,120,225
117,98,612
91,113,421
70,112,333
80,83,365
115,89,470
103,119,561
61,129,580
73,162,256
76,92,5
116,74,7
175,63,106
58,102,437
112,137,228
115,95,313
32,164,268
50,87,271
103,126,366
15,128,320
84,108,703
142,60,398
119,51,570
104,99,448
57,181,251
107,102,314
148,47,338
175,142,631
77,154,528
78,120,258
107,121,970
134,66,485
63,51,60
118,85,460
40,149,1424
83,68,671
114,144,255
78,102,506
149,123,699
89,124,285
93,92,495
112,130,445
